n(SMILES),PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Eg_n(eV),M (g/mol),HOMO_n(eV),'-LUMO_n(eV)
O=C(N1C2=CC(C(CCCCCC)(CCCCCC)C3C4C=CC=C3)=C4C=C2)C(C5=C6C=CC=C5C1=O)=CC=C6C#CC(S7)=C(F)C(F)=C7C(C8=NSN=C98)=CC%10=C9C=C(C%11=C(F)C(F)=C(C#CC%12=CC=C%13C(N(C(C%14=CC=CC%12=C%14%13)=O)C(C=C%15)=CC%16=C%15C%17C=CC=CC%17C%16(CCCCCC)CCCCCC)=O)S%11)C%18=NSN=C%10%18,0.26,0.24,1.2,0.31,0.71,2.72,1587.98,6.29,3.57
O=C(N1C2=CC(C(CCCCCC)(CCCCCC)C3C4C=CC=C3)=C4C=C2)C(C5=C6C=CC=C5C1=O)=CC=C6C#CC(S7)=CC=C7C(C8=NSN=C98)=CC%10=C9C=C(C%11=CC=C(C#CC%12=CC=C%13C(N(C(C%14=CC=CC%12=C%14%13)=O)C(C=C%15)=CC%16=C%15C%17C=CC=CC%17C%16(CCCCCC)CCCCCC)=O)S%11)C%18=NSN=C%10%18,0.87,0.87,2.39,0.44,0.84,2.68,1516.02,6.16,3.48
O=C(N1CC(CC)CCCC)C2=C(C3=CC=C(C4=CC=C(C(N5CC(CC)CCCC)=O)C6=C4C=CC=C6C5=O)S3)C7=NSN=C7C(C8=CC=C(C9=CC=C(C(N%10CC(CC)CCCC)=O)C%11=C9C=CC=C%11C%10=O)S8)=C2C1=O,2.11,2.1,6.14,0.442,0.77,1.97,1096.43,5.62,3.65
O=C(N1CCCCCC)C2=CC(C3=C4C5=C(C6=C3)C(C7=C58)=C(C=C6)C=CC7=CC=C8C=C4)=CC=C2C1=O,0.32,0.32,0.96,0.4,0.83,3.2,479.58,6.3,3.1
O=C(OCC)/C(C#N)=C/C1=CC=C(C2=CC(C3(CCCCCCCC)CCCCCCCC)=C(C=C2)C(C3=C4)=CC=C4C5=CC=C(/C=C(C(OCC)=O)\C#N)S5)S1,1.26,1.15,2.82,0.44,1.03,2.33,801.12,5.7,3.37
O=C1C(C(C(N2CC(CCCC)CC)=O)=C(C3=CC=C(C4=CC=CC=C4)S3)N1CC(CCCC)CC)=C2C5=CC=C(C6=CC(C7=CC=C(C(N(CC(CCCC)CC)C8=O)=C9C8=C(C%10=CC=C(C%11=CC=CC=C%11)S%10)N(CC(CCCC)CC)C9=O)S7)=CC(C%12=CC(C%13=CC=C(C%14=C%15C(C(N%14CC(CCCC)CC)=O)=C(C%16=CC=C(C%17=CC=CC=C%17)S%16)N(CC(CCCC)CC)C%15=O)S%13)=CC(C%18=CC=C(C(N(CC(CCCC)CC)C%19=O)=C%20C%19=C(C%21=CC=C(C%22=CC=CC=C%22)S%21)N(CC(CCCC)CC)C%20=O)S%18)=C%12)=C6)S5,1.43,1.43,3.41,0.36,1.17,1.68,2549.67,5.31,3.63
O=C1C(C2=C(C3=CC=C(C4=CC(C=CC=C5)=C5O4)S3)N1CC(CC)CCCC)=C(C(S6)=CC=C6C7=CC8=C(C9C(C8(C%10C%11C=CC(C%12=CC=C(C%13=C%14C(C(N%13CC(CC)CCCC)=O)=C(C%15=CC=C(C%16=CC(C=CC=C%17)=C%17O%16)S%15)N(CC(CC)CCCC)C%14=O)S%12)=C%10)C%18=C%11C=CC(C%19=CC=C(C%20=C%21C(C(N%20CC(CC)CCCC)=O)=C(C%22=CC=C(C%23=CC(C=CC=C%24)=C%24O%23)S%22)N(CC(CC)CCCC)C%21=O)S%19)=C%18)C=C(C%25=CC=C(C%26=C%27C(C(N%26CC(CC)CCCC)=O)=C(C%28=CC=C(C%29=CC(C=CC=C%30)=C%30O%29)S%28)N(CC(CC)CCCC)C%27=O)S%25)C=C9)C=C7)N(CC(CC)CCCC)C2=O,0.33,0.33,1.1,0.374,0.81,1.58,2875.98,5.21,3.63
O=C1C(C2=C(C3=CC=C(C4=CC(C=CC=C5)=C5S4)S3)N1CC(CC)CCCC)=C(C(S6)=CC=C6C7=CC8=C(C9C(C8(C%10C%11C=CC(C%12=CC=C(C%13=C%14C(C(N%13CC(CC)CCCC)=O)=C(C%15=CC=C(C%16=CC(C=CC=C%17)=C%17S%16)S%15)N(CC(CC)CCCC)C%14=O)S%12)=C%10)C%18=C%11C=CC(C%19=CC=C(C%20=C%21C(C(N%20CC(CC)CCCC)=O)=C(C%22=CC=C(C%23=CC(C=CC=C%24)=C%24S%23)S%22)N(CC(CC)CCCC)C%21=O)S%19)=C%18)C=C(C%25=CC=C(C%26=C%27C(C(N%26CC(CC)CCCC)=O)=C(C%28=CC=C(C%29=CC(C=CC=C%30)=C%30S%29)S%28)N(CC(CC)CCCC)C%27=O)S%25)C=C9)C=C7)N(CC(CC)CCCC)C2=O,0.73,0.73,1.98,0.369,1.0,1.54,2940.22,5.12,3.58
O=C1C(C2=C(C3=CC=C(C4=CC(F)=C(F)C(F)=C4)S3)N1CC(CC)CCCC)=C(C(S5)=CC=C5C6=CC7=C(C8C(C7(C9C%10C=CC(C%11=CC=C(C%12=C%13C(C(N%12CC(CC)CCCC)=O)=C(C%14=CC=C(C%15=CC(F)=C(F)C(F)=C%15)S%14)N(CC(CC)CCCC)C%13=O)S%11)=C9)C%16=C%10C=CC(C%17=CC=C(C%18=C%19C(C(N%18CC(CC)CCCC)=O)=C(C%20=CC=C(C%21=CC(F)=C(F)C(F)=C%21)S%20)N(CC(CC)CCCC)C%19=O)S%17)=C%16)C=C(C%22=CC=C(C%23=C%24C(C(N%23CC(CC)CCCC)=O)=C(C%25=CC=C(C%26=CC(F)=C(F)C(F)=C%26)S%25)N(CC(CC)CCCC)C%24=O)S%22)C=C8)C=C6)N(CC(CC)CCCC)C2=O,1.67,1.67,4.82,0.373,0.93,1.75,2931.78,5.29,3.54
O=C1C(C2=C(C3=CC=C(C4=CC=CC=C4)S3)N1CC(CC)CCCC)=C(C(S5)=CC=C5C6=CC7=C(C8C(C7(C9C%10C=CC(C%11=CC=C(C%12=C%13C(C(N%12CC(CC)CCCC)=O)=C(C%14=CC=C(C%15=CC=CC=C%15)S%14)N(CC(CC)CCCC)C%13=O)S%11)=C9)C%16=C%10C=CC(C%17=CC=C(C%18=C%19C(C(N%18CC(CC)CCCC)=O)=C(C%20=CC=C(C%21=CC=CC=C%21)S%20)N(CC(CC)CCCC)C%19=O)S%17)=C%16)C=C(C%22=CC=C(C%23=C%24C(C(N%23CC(CC)CCCC)=O)=C(C%25=CC=C(C%26=CC=CC=C%26)S%25)N(CC(CC)CCCC)C%24=O)S%22)C=C8)C=C6)N(CC(CC)CCCC)C2=O,6.09,6.09,10.23,0.54,1.11,2.1,2715.89,5.6,3.5
O=C1C(C2=C(C3=CC=CS3)N1CC(CC)CCCC)=C(C(S4)=CC=C4C5=CC6=C(C7C(C6(C8C9C=CC(C%10=CC=C(C%11=C%12C(C(N%11CC(CC)CCCC)=O)=C(C%13=CC=CS%13)N(CC(CC)CCCC)C%12=O)S%10)=C8)C%14=C9C=CC(C%15=CC=C(C%16=C%17C(C(N%16CC(CC)CCCC)=O)=C(C%18=CC=CS%18)N(CC(CC)CCCC)C%17=O)S%15)=C%14)C=C(C%19=CC=C(C%20=C%21C(C(N%20CC(CC)CCCC)=O)=C(C%22=CC=CS%22)N(CC(CC)CCCC)C%21=O)S%19)C=C7)C=C5)N(CC(CC)CCCC)C2=O,3.63,3.63,6.96,0.475,1.1,1.66,2411.5,5.26,3.6
O=C1C(C2=C(C3=CC=CS3)N1CC(CC)CCCC)=C(C4=CC=C(C#CC5=CC6=C(C7C(C6(C8C9C=CC(C#CC%10=CC=C(C%11=C%12C(C(N%11CC(CC)CCCC)=O)=C(C%13=CC=CS%13)N(CC(CC)CCCC)C%12=O)S%10)=C8)C%14=C9C=CC(C#CC%15=CC=C(C%16=C%17C(C(N%16CC(CC)CCCC)=O)=C(C%18=CC=CS%18)N(CC(CC)CCCC)C%17=O)S%15)=C%14)C=C(C#CC%19=CC=C(C%20=C%21C(C(N%20CC(CC)CCCC)=O)=C(C%22=CC=CS%22)N(CC(CC)CCCC)C%21=O)S%19)C=C7)C=C5)S4)N(CC(CC)CCCC)C2=O,0.76,0.76,2.37,0.426,0.75,1.72,2507.59,5.3,3.58
O=C1C(C2=C(C3=CC=CS3)N1CCCCCCCC)=C(C(S4)=CC=C4C5=CC6=C(C7C(C6(C8C9C=CC(C%10=CC=C(C%11=C%12C(C(N%11CCCCCCCC)=O)=C(C%13=CC=CS%13)N(CCCCCCCC)C%12=O)S%10)=C8)C%14=C9C=CC(C%15=CC=C(C%16=C%17C(C(N%16CCCCCCCC)=O)=C(C%18=CC=CS%18)N(CCCCCCCC)C%17=O)S%15)=C%14)C=C(C%19=CC=C(C%20=C%21C(C(N%20CCCCCCCC)=O)=C(C%22=CC=CS%22)N(CCCCCCCC)C%21=O)S%19)C=C7)C=C5)N(CCCCCCCC)C2=O,1.87,1.87,5.21,0.409,0.88,1.69,2411.5,5.24,3.55
O=C1C(C2=C(C3=CC=CS3)N1CCCCCCCC)=C(C4=CC=C(C#CC5=CC6=C(C7C(C6(C8C9C=CC(C#CC%10=CC=C(C%11=C%12C(C(N%11CCCCCCCC)=O)=C(C%13=CC=CS%13)N(CCCCCCCC)C%12=O)S%10)=C8)C%14=C9C=CC(C#CC%15=CC=C(C%16=C%17C(C(N%16CCCCCCCC)=O)=C(C%18=CC=CS%18)N(CCCCCCCC)C%17=O)S%15)=C%14)C=C(C#CC%19=CC=C(C%20=C%21C(C(N%20CCCCCCCC)=O)=C(C%22=CC=CS%22)N(CCCCCCCC)C%21=O)S%19)C=C7)C=C5)S4)N(CCCCCCCC)C2=O,0.28,0.28,1.21,0.289,0.79,1.73,2507.59,5.29,3.56
O=C1C(C2=C(C3=CC=CS3)N1CCCCCCCCCCCC)=C(C(S4)=CC=C4C5=CC6=C(C7C(C6(C8C9C=CC(C%10=CC=C(C%11=C%12C(C(N%11CCCCCCCCCCCC)=O)=C(C%13=CC=CS%13)N(CCCCCCCCCCCC)C%12=O)S%10)=C8)C%14=C9C=CC(C%15=CC=C(C%16=C%17C(C(N%16CCCCCCCCCCCC)=O)=C(C%18=CC=CS%18)N(CCCCCCCCCCCC)C%17=O)S%15)=C%14)C=C(C%19=CC=C(C%20=C%21C(C(N%20CCCCCCCCCCCC)=O)=C(C%22=CC=CS%22)N(CCCCCCCCCCCC)C%21=O)S%19)C=C7)C=C5)N(CCCCCCCCCCCC)C2=O,1.42,1.42,3.88,0.401,0.91,1.66,2860.36,5.23,3.57
O=C1C(C2=C(C3=CC=CS3)N1CCCCCCCCCCCC)=C(C4=CC=C(C#CC5=CC6=C(C7C(C6(C8C9C=CC(C#CC%10=CC=C(C%11=C%12C(C(N%11CCCCCCCCCCCC)=O)=C(C%13=CC=CS%13)N(CCCCCCCCCCCC)C%12=O)S%10)=C8)C%14=C9C=CC(C#CC%15=CC=C(C%16=C%17C(C(N%16CCCCCCCCCCCC)=O)=C(C%18=CC=CS%18)N(CCCCCCCCCCCC)C%17=O)S%15)=C%14)C=C(C#CC%19=CC=C(C%20=C%21C(C(N%20CCCCCCCCCCCC)=O)=C(C%22=CC=CS%22)N(CCCCCCCCCCCC)C%21=O)S%19)C=C7)C=C5)S4)N(CCCCCCCCCCCC)C2=O,0.45,0.45,1.96,0.331,0.7,1.72,2956.45,5.29,3.57
O=C1C(C=C(Br)C(Br)=C2)=C2C(/C1=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(C=C(C(C(C9=CC=C(CCCCCC)C=C9)%10C%11=CC=C(CCCCCC)C=C%11)=C([Se]%12)C%13=C%10C=C(/C=C%14/C(C%15=C(C=C(Br)C(Br)=C%15)C%14=O)=C(C#N)\C#N)S%13)C%12=C8)[Se]5)=C(C#N)/C#N,9.6,9.4,16.4,0.686,0.85,1.63,1837.34,5.65,4.02
O=C1C(C=C(Cl)S2)=C2C(/C1=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(C=C(C(C(C9=CC=C(CCCCCC)C=C9)%10C%11=CC=C(CCCCCC)C=C%11)=C([Se]%12)C%13=C%10C=C(/C=C%14/C(C%15=C(C=C(Cl)S%15)C%14=O)=C(C#N)\C#N)S%13)C%12=C8)[Se]5)=C(C#N)/C#N,11.91,11.51,17.85,0.688,0.97,1.76,1602.68,5.58,3.82
O=C1C(C=C(F)C(F)=C2)=C2C(/C1=C/C(S3)=CC4=C3C(C5(C(C=C6)=CC=C6CCCCCC)C(C=C7)=CC=C7CCCCCC)=C(C8=C5C9=C(S8)C(C%10=CC=C(S%10)CCCCCC)=C%11C%12=C(C(SC%13=C%14SC(/C=C%15/C(C%16=C(C=C(F)C(F)=C%16)C%15=O)=C(C#N)\C#N)=C%13)=C%14C(C(C=C%17)=CC=C%17CCCCCC)%12C(C=C%18)=CC=C%18CCCCCC)SC%11=C9C(S%19)=CC=C%19CCCCCC)S4)=C(C#N)/C#N,13.0,12.7,23.81,0.727,0.732,1.57,1944.65,5.57,4.0
O=C1C(C=C(F)C(F)=C2)=C2C(/C1=C/C(S3)=CC4=C3C5=C(C6=C(S7)C(C(C(C8=CC=C(CCCCCC)C=C8)9C%10=CC=C(CCCCCC)C=C%10)=C7C%11=C9C=C(/C=C%12/C(C%13=C(C=C(F)C(F)=C%13)C%12=O)=C(C#N)\C#N)S%11)=C(C%14=C6S5)SC%15=C%14C(C%16=C%15SC(/C=C%17/C(C%18=C(C=C(F)C(F)=C%18)C%17=O)=C(C#N)\C#N)=C%16)(C%19=CC=C(CCCCCC)C=C%19)C%20=CC=C(CCCCCC)C=C%20)C(C%21=CC=C(CCCCCC)C=C%21)4C%22=CC=C(CCCCCC)C=C%22)=C(C#N)/C#N,8.11,8.01,16.93,0.656,0.73,1.85,2210.82,5.83,3.98
O=C1C(C=C(F)C(F)=C2)=C2C(/C1=C/C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=C6SC7=C5SC8=C7C(C9=CC=C(CCCCCC)S9)=C(SC%10=C%11SC%12=C%10C(C%13=C%12SC(/C=C%14/C(C%15=C(C=C(F)C(F)=C%15)C%14=O)=C(C#N)\C#N)=C%13)(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)C%11=C8C%18=CC=C(CCCCCC)S%18)C%19=CC=C(CCCCCC)C=C%19)=C6S3)=C(C#N)/C#N,10.3,9.98,19.84,0.651,0.772,1.69,1944.65,5.61,3.92
O=C1C(C=C(F)C(F)=C2)=C2C(/C1=C/C3=CC(N(CCCCCCCC)C4=C5SC6=C4C(C7=CC(OCCCCCC)=CC=C7)(C8=CC=CC(OCCCCCC)=C8)C9=C6C=C(C(C%10=CC(OCCCCCC)=CC=C%10)(C%11=CC=CC(OCCCCCC)=C%11)C%12=C%13SC%14=C%12N(CCCCCCCC)C%15=C%14SC(/C=C%16/C(C%17=C(C=C(F)C(F)=C%17)C%16=O)=C(C#N)\C#N)=C%15)C%13=C9)=C5S3)=C(C#N)/C#N,12.1,11.8,21.3,0.669,0.85,1.44,1866.42,5.41,3.97
O=C1C(C=C(F)C(F)=C2)=C2C(/C1=C/C3=CC(N(CCCCCCCC)C4=C5SC6=C4C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C6C=C(C(C%10=CC=C(CCCCCC)C=C%10)(C%11=CC=C(CCCCCC)C=C%11)C%12=C%13SC%14=C%12N(CCCCCCCC)C%15=C%14SC(/C=C%16/C(C%17=C(C=C(F)C(F)=C%17)C%16=O)=C(C#N)\C#N)=C%15)C%13=C9)=C5S3)=C(C#N)/C#N,9.71,9.64,18.4,0.632,0.835,1.48,1802.42,5.42,3.94
O=C1C(C=C(F)C(F)=C2)=C2C(/C1=C/C3=CC(N(CCCCCCCC)C4=C5SC6=C4C(C7=CC=C(OCCCCCC)C=C7)(C8=CC=C(OCCCCCC)C=C8)C9=C6C=C(C(C%10=CC=C(OCCCCCC)C=C%10)(C%11=CC=C(OCCCCCC)C=C%11)C%12=C%13SC%14=C%12N(CCCCCCCC)C%15=C%14SC(/C=C%16/C(C%17=C(C=C(F)C(F)=C%17)C%16=O)=C(C#N)\C#N)=C%15)C%13=C9)=C5S3)=C(C#N)/C#N,10.6,10.4,19.0,0.661,0.846,1.38,1866.42,5.38,4.0
O=C1C(C=C(F)C(F)=C2)=C2C(/C1=C/C3=CC(SC4=C5C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C4SC9=C8C=C(SC%10=C%11C(C%12=CC=C(CCCCCC)C=C%12)(C%13=CC=C(CCCCCC)C=C%13)C%14=C%10SC%15=C%14SC(/C=C%16/C(C%17=C(C=C(F)C(F)=C%17)C%16=O)=C(C#N)\C#N)=C%15)C%11=C9)=C5S3)=C(C#N)/C#N,10.04,9.66,19.3,0.628,0.83,1.39,1612.08,5.29,3.9
O=C1C(C=C(F)C(F)=C2)=C2C(/C1=C/C3=CC4=C(S3)C(C(C5=CC=C(CCCCCC)C=C5)(C6=C7SC8=C6SC9=C8C(C(C=C%10)=CC=C%10CCCCCC)(C(C=C%11)=CC=C%11CCCCCC)C%12=C9SC%13=C%12SC%14=C%13C(C(C=C%15)=CC=C%15CCCCCC)(C(C=C%16)=CC=C%16CCCCCC)C%17=C%14SC%18=C%17SC(/C=C%19C(C%20=C(C\%19=C(C#N)/C#N)C=C(C(F)=C%20)F)=O)=C%18)C%21=CC=C(CCCCCC)C=C%21)=C7S4)=C(C#N)/C#N,11.2,11.0,23.3,0.689,0.692,1.25,2032.75,5.31,4.06
O=C1C(C=C(F)C(F)=C2)=C2C(/C1=C/C3=CSC4=C3SC5=C4C(C6=CC=C(CCCCCC)C=C6)(C7=C5SC8=C7SC9=C8C(C(C=C%10)=CC=C%10CCCCCC)(C(C=C%11)=CC=C%11CCCCCC)C%12=C9SC%13=C%12SC%14=C%13C(C(C=C%15)=CC=C%15CCCCCC)(C(C=C%16)=CC=C%16CCCCCC)C%17=C%14SC%18=C%17SC(/C=C%19C(C%20=C(C\%19=C(C#N)/C#N)C=C(C(F)=C%20)F)=O)=C%18)C%21=CC=C(CCCCCC)C=C%21)=C(C#N)/C#N,10.3,10.0,20.2,0.634,0.779,1.32,2032.75,5.31,3.99
O=C1C(C=C(F)C=C2)=C2C(/C1=C/C(S3)=CC(S4)=C3C5=C4C(C=C(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C9SC%10=C8N(CCCCCCCC)C%11=C%10SC(/C=C%12C(C%13=C(C\%12=C(C#N)/C#N)C=CC(F)=C%13)=O)=C%11)C9=C%14)=C%14C5(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16)=C(C#N)/C#N,11.4,11.0,19.7,0.662,0.874,1.42,1615.19,5.46,4.04
O=C1C(C=CC(Br)=C2)=C2C(/C1=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(C=C(C(C(C9=CC=C(CCCCCC)C=C9)%10C%11=CC=C(CCCCCC)C=C%11)=C([Se]%12)C%13=C%10C=C(/C=C%14/C(C%15=C(C=CC(Br)=C%15)C%14=O)=C(C#N)\C#N)S%13)C%12=C8)[Se]5)=C(C#N)/C#N,12.5,12.3,20.3,0.691,0.89,1.64,1679.55,5.63,3.99
O=C1C(C=CC(Cl)=C2)=C2C(/C1=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(C=C(C(C(C9=CC=C(CCCCCC)C=C9)%10C%11=CC=C(CCCCCC)C=C%11)=C([Se]%12)C%13=C%10C=C(/C=C%14/C(C%15=C(C=CC(Cl)=C%15)C%14=O)=C(C#N)\C#N)S%13)C%12=C8)[Se]5)=C(C#N)/C#N,13.68,13.29,20.35,0.731,0.92,1.65,1590.64,5.61,3.96
O=C1C(C=CC=C2)=C2C(/C1=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(C(C(OCC(CCCC)CCCCCC)=N9)=C%10C(C8=CC=C%11N=C%12OCC(CCCC)CCCCCC)=C%11C(C%13=C%14C=CC9=C%13%10)=C%12C%15=C%14C(C(C%16=CC=C(CCCCCC)C=C%16)%17C%18=CC=C(CCCCCC)C=C%18)=C(S%15)C%19=C%17C=C(/C=C%20/C(C%21=C(C=CC=C%21)C%20=O)=C(C#N)\C#N)S%19)S5)=C(C#N)/C#N,9.92,9.63,16.17,0.605,0.984,1.72,2020.82,5.44,3.72
O=C1C(C=CC=C2)=C2C(/C1=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(C=C(C(C(C9=CC=C(CCCCCC)C=C9)%10C%11=CC=C(CCCCCC)C=C%11)=C([Se]%12)C%13=C%10C=C(/C=C%14/C(C%15=C(C=CC=C%15)C%14=O)=C(C#N)\C#N)S%13)C%12=C8)[Se]5)=C(C#N)/C#N,7.1,6.8,14.0,0.519,0.97,1.61,1521.76,5.53,3.92
O=C1C(C=CC=C2)=C2C(/C1=C/C(S3)=CC4=C3C5=C(C6=C(S7)C(C(C(C8=CC=C(CCCCCC)C=C8)9C%10=CC=C(CCCCCC)C=C%10)=C7C%11=C9C=C(/C=C%12/C(C%13=C(C=CC=C%13)C%12=O)=C(C#N)\C#N)S%11)=C(C%14=C6S5)SC%15=C%14C(C%16=C%15SC(/C=C%17/C(C%18=C(C=CC=C%18)C%17=O)=C(C#N)\C#N)=C%16)(C%19=CC=C(CCCCCC)C=C%19)C%20=CC=C(CCCCCC)C=C%20)C(C%21=CC=C(CCCCCC)C=C%21)4C%22=CC=C(CCCCCC)C=C%22)=C(C#N)/C#N,5.3,5.16,9.75,0.59,0.92,1.88,2102.88,5.75,3.87
O=C1C2=C(C(/C1=C/C(S3)=CC(CC(CC)CCCC)=C3C4=CC(C(C(C=C5)=CC=C5CCCCCC)(C6=C7)C(C=C8)=CC=C8CCCCCC)=C(C6=CC9=C7C(SC(C%10=C(C=C(/C=C%11C(C(C=C(Cl)C(Cl)=C%12)=C%12C\%11=C(C#N)\C#N)=O)S%10)CC(CCCC)CC)=C%13)=C%13C(C(C=C%14)=CC=C%14CCCCCC)9C(C=C%15)=CC=C%15CCCCCC)S4)=C(C#N)\C#N)C=C(Cl)C(Cl)=C2,11.1,10.9,21.49,0.6,0.86,1.43,1842.23,5.54,4.11
O=C1C2=C(C(/C1=C/C(S3)=CC(CC(CC)CCCC)=C3C4=CC(C(C(C=C5)=CC=C5CCCCCC)(C6=C7)C(C=C8)=CC=C8CCCCCC)=C(C6=CC9=C7C(SC(C%10=C(C=C(/C=C%11C(C(C=C(F)C(F)=C%12)=C%12C\%11=C(C#N)\C#N)=O)S%10)CC(CCCC)CC)=C%13)=C%13C(C(C=C%14)=CC=C%14CCCCCC)9C(C=C%15)=CC=C%15CCCCCC)S4)=C(C#N)\C#N)C=C(F)C(F)=C2,10.8,10.6,21.35,0.58,0.87,1.44,1776.43,5.51,4.07
O=C1C2=C(C(/C1=C/C(S3)=CC4=C3C(S5)=C(C(S6)=C5C7=C6C(SC(/C=C8C(C(C=C(F)C(F)=C9)=C9C\8=C(C#N)\C#N)=O)=C%10)=C%10[Si]7(CCCCCCCC)CCCCCCCC)[Si]4(CCCCCCCC)CCCCCCCC)=C(C#N)/C#N)C=C(F)C(F)=C2,6.15,5.72,18.77,0.489,0.665,1.44,1289.83,5.36,3.92
O=C1C2=C(C(/C1=C/C(S3)=CC4=C3C(SC(C=C56)=C7C=C6SC8=C5C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C8SC(/C=C%12/C(C%13=C(C%12=O)C=C(F)C(F)=C%13)=C(C#N)/C#N)=C%11)=C7C4(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)\C#N)C=C(F)C(F)=C2,8.12,8.12,19.12,0.607,0.7,1.52,1499.92,5.52,4.0
O=C1C2=C(C(/C1=C/C(S3)=CC4=C3C(SC(C=C56)=C7C=C6SC8=C5C(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C8SC(/C=C%12/C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)/C#N)=C%11)=C7C4(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)\C#N)C=CC=C2,10.29,10.29,17.72,0.618,0.94,1.6,1427.96,5.38,3.78
O=C1C2=C(C(/C1=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(C(C9=CC%10=C(C=C(CC(CCCC)CC)S%10)S9)=C(C(C(C%11=CC=C(CCCCCC)C=C%11)%12C%13=CC=C(CCCCCC)C=C%13)=C(S%14)C%15=C%12C=C(/C=C%16/C(C%17=C(C%16=O)C=CC(C)=C%17)=C(C#N)\C#N)S%15)C%14=C8C%18=CC(SC(CC(CCCC)CC)=C%19)=C%19S%18)S5)=C(C#N)/C#N)C=C(C)C=C2,10.04,9.82,15.9,0.615,1.027,1.79,1956.85,5.55,3.76
O=C1C2=C(C(/C1=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(C(C9=CC%10=C(C=C(CC(CCCC)CC)S%10)S9)=C(C(C(C%11=CC=C(CCCCCC)C=C%11)%12C%13=CC=C(CCCCCC)C=C%13)=C(S%14)C%15=C%12C=C(/C=C%16/C(C%17=C(C%16=O)C=CC(F)=C%17)=C(C#N)\C#N)S%15)C%14=C8C%18=CC(SC(CC(CCCC)CC)=C%19)=C%19S%18)S5)=C(C#N)/C#N)C=C(F)C=C2,12.65,12.46,18.54,0.716,0.953,1.77,1964.77,5.64,3.87
O=C1C2=C(C(/C1=C/C(S3)=CC4=C3C5=C(C4(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)C8=C(CCCCCCCC)C(SC9=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC(/C=C%14C(C(C=CC(F)=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)=C%10C(CCCCCCCC)=C8S5)=C(C#N)/C#N)C=C(F)C=C2,12.12,11.62,20.33,0.71,0.839,1.47,1688.37,5.36,3.89
O=C1C2=C(C(/C1=C/C(S3)=CC4=C3C5=C(C4(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)C8=C(OCCCCCCCC)C(SC9=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC(/C=C%14C(C(C=CC(F)=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)=C%10C(OCCCCCCCC)=C8S5)=C(C#N)/C#N)C=C(F)C=C2,10.55,10.26,19.16,0.7,0.77,1.37,1720.37,5.26,3.89
